time,open,high,low,close,tick_volume,spread,real_volume,true_range,is_over,EMA20
2024-07-15 15:10:00,1.09091,1.09114,1.0907499999999999,1.09112,407,5,0,,False,1.09112
2024-07-15 15:15:00,1.09113,1.09139,1.09106,1.09135,286,5,0,,False,1.09124075
2024-07-15 15:20:00,1.09134,1.09143,1.09119,1.09122,396,5,0,,False,1.0912331307243963
2024-07-15 15:25:00,1.09123,1.09156,1.09119,1.09149,378,5,0,,False,1.0913072849127183
2024-07-15 15:30:00,1.09149,1.0916,1.09116,1.09121,478,5,0,,False,1.0912837525202084
2024-07-15 15:35:00,1.09121,1.09129,1.09104,1.09127,416,5,0,,False,1.091280851366624
2024-07-15 15:40:00,1.09128,1.09147,1.09087,1.09111,480,5,0,,False,1.091248547602076
2024-07-15 15:45:00,1.09113,1.09144,1.09102,1.09135,534,5,0,,False,1.091266084158834
2024-07-15 15:50:00,1.09137,1.09145,1.09115,1.09139,492,5,0,,False,1.091285960865676
2024-07-15 15:55:00,1.09135,1.09155,1.09127,1.09147,377,5,0,,False,1.0913136755646367
2024-07-15 16:00:00,1.09147,1.09162,1.09139,1.09149,468,5,0,,False,1.0913388357964333
2024-07-15 16:05:00,1.09152,1.09157,1.09123,1.09154,465,5,0,,False,1.091366240024681
2024-07-15 16:10:00,1.09155,1.09156,1.09108,1.09124,397,5,0,,False,1.091349719746262
2024-07-15 16:15:00,1.09124,1.09159,1.09124,1.09158,215,5,0,0.0003585714285714303,False,1.0913788184788151
2024-07-15 16:20:00,1.09159,1.09169,1.09142,1.09154,326,5,0,0.0003522448979591848,False,1.0913985709601621
2024-07-15 16:25:00,1.0915300000000001,1.09171,1.09139,1.0917,231,5,0,0.0003499416909620913,False,1.0914345285027254
2024-07-15 16:30:00,1.09171,1.09172,1.09132,1.0913599999999999,247,5,0,0.0003535172844647959,False,1.0914258467934637
2024-07-15 16:35:00,1.09135,1.09137,1.09069,1.0909,381,5,0,0.0003768374784315972,False,1.091365866324926
2024-07-15 16:40:00,1.0909,1.09129,1.09087,1.09122,314,5,0,0.00037992051568648934,False,1.0913495356001617
2024-07-15 16:45:00,1.09123,1.09157,1.09109,1.09149,343,5,0,0.0003870690502803141,False,1.0913650029489563
2024-07-15 16:50:00,1.09149,1.09165,1.09119,1.0916,550,5,0,0.0003922784038317135,False,1.091390500490889
2024-07-15 16:55:00,1.09159,1.09172,1.09143,1.09166,424,5,0,0.00038497280355802847,False,1.0914193588415166
2024-07-15 17:00:00,1.09166,1.09186,1.09142,1.0918,414,5,0,0.0003889033175895976,False,1.0914596413090498
2024-07-15 17:05:00,1.09179,1.09216,1.09168,1.0917,368,5,0,0.0003954102234760575,False,1.0914848114253355
2024-07-15 17:10:00,1.09174,1.0921,1.09174,1.09208,465,5,0,0.0003957380646563518,False,1.0915465535939213
2024-07-15 17:15:00,1.0921,1.09211,1.09154,1.0916,481,5,0,0.0004081853457523238,False,1.0915520511672008
2024-07-15 17:20:00,1.09158,1.09163,1.09132,1.09137,352,5,0,0.0004011721067700173,False,1.0915334668001233
2024-07-15 17:25:00,1.09135,1.09143,1.09108,1.09125,333,5,0,0.000397516956286434,False,1.0915047263316793
2024-07-15 17:30:00,1.09123,1.09126,1.0909200000000001,1.09122,327,5,0,0.00039340860226595904,False,1.0914760346455528
2024-07-15 17:35:00,1.09122,1.09123,1.09101,1.09111,303,5,0,0.0003810222735326682,False,1.091439352472129
2024-07-15 17:40:00,1.09111,1.09137,1.09111,1.09126,247,5,0,0.0003723778254231867,False,1.0914214676700538
2024-07-15 17:45:00,1.09127,1.0913,1.09103,1.09124,211,5,0,0.00036506512360724426,False,1.0914034526619176
2024-07-15 17:50:00,1.09124,1.09124,1.09105,1.09112,193,5,0,0.00035256047192100626,False,1.091375426312812
2024-07-15 17:55:00,1.09113,1.09124,1.09107,1.09114,169,5,0,0.0003395204382123632,False,1.0913522329129088
2024-07-15 18:00:00,1.09112,1.09114,1.09065,1.09067,301,5,0,0.0003502689783400588,False,1.091285241278277
2024-07-15 18:05:00,1.09066,1.09066,1.09038,1.09047,375,5,0,0.00034596405131577773,False,1.091205424914235
2024-07-15 18:10:00,1.09048,1.09056,1.09011,1.09024,255,5,0,0.0003533951905075123,False,1.0911111562155231
2024-07-15 18:15:00,1.09024,1.09033,1.0901399999999999,1.09019,148,5,0,0.0003417241054712711,False,1.0910214260756734
2024-07-15 18:20:00,1.09017,1.09059,1.09016,1.09059,294,5,0,0.00034802952650903247,False,1.0909794918065794
2024-07-15 18:25:00,1.09058,1.09059,1.09032,1.09047,210,5,0,0.0003424559889012439,False,1.0909300665390427
2024-07-15 18:30:00,1.09047,1.09049,1.09021,1.0903100000000001,218,5,0,0.00033799484683687346,False,1.0908700208647486
2024-07-15 18:35:00,1.09032,1.09037,1.09021,1.09027,211,5,0,0.00032528092920567963,False,1.090812009145245
2024-07-15 18:40:00,1.09027,1.09164,1.09021,1.09027,1418,5,0,0.0004041894342624198,False,1.0907596817629241
2024-07-15 18:45:00,1.0903,1.09056,1.08992,1.09027,1051,5,0,0.00042103304610081654,False,1.0907124678682314
2024-07-15 18:50:00,1.09027,1.09038,1.08999,1.09034,500,5,0,0.0004188163999507504,False,1.090676597750654
2024-07-15 18:55:00,1.09033,1.09065,1.0903100000000001,1.09055,539,5,0,0.00041318665709711,False,1.0906644188710037
2024-07-15 19:00:00,1.09057,1.09058,1.08963,1.08994,778,5,0,0.0004515304673044598,True,1.0905947958358322
2024-07-15 19:05:00,1.0899,1.09033,1.0899,1.0903100000000001,432,5,0,0.00044999257678270767,False,1.0905674482590606
2024-07-15 19:10:00,1.09029,1.09033,1.08987,1.09,402,5,0,0.00045070739272680903,False,1.090513001782158
2024-07-15 19:15:00,1.09001,1.09007,1.08969,1.08994,450,5,0,0.0004456568646748975,False,1.0904580615409585
2024-07-15 19:20:00,1.08994,1.09024,1.0898,1.09006,396,5,0,0.0004452528029124045,False,1.0904199193625048
2024-07-15 19:25:00,1.09005,1.09011,1.08959,1.08976,454,5,0,0.0004505918884186509,False,1.09035672278111
2024-07-15 19:30:00,1.08973,1.08975,1.08936,1.08949,553,5,0,0.00044697818210302987,False,1.0902737654928396
2024-07-15 19:35:00,1.08948,1.08954,1.08926,1.08931,309,5,0,0.00043505116909567474,False,1.090181563738919
2024-07-15 19:40:00,1.08929,1.08952,1.08927,1.08942,319,5,0,0.00042183322844598965,False,1.0901087375982583
2024-07-15 19:45:00,1.08941,1.08949,1.08926,1.08936,265,5,0,0.0004081308549855743,False,1.090037165826973
2024-07-15 19:50:00,1.08936,1.08962,1.08936,1.08944,249,5,0,0.00039755007962945666,False,1.0899801028665028
2024-07-15 19:55:00,1.08946,1.08962,1.08932,1.08944,208,5,0,0.00039058221679877885,False,1.0899285090494477
2024-07-15 20:00:00,1.08944,1.08946,1.08926,1.08931,207,5,0,0.00037696920131316606,False,1.0898694424106952
2024-07-15 20:05:00,1.08931,1.08954,1.08929,1.08954,165,5,0,0.00036789997264793,False,1.0898379893681436
2024-07-15 20:10:00,1.08951,1.08959,1.08938,1.08956,215,5,0,0.000356621403173081,False,1.0898114549793108
2024-07-15 20:15:00,1.08956,1.0896,1.08933,1.08946,230,5,0,0.000350434160089289,False,1.0897779153614862
2024-07-15 20:20:00,1.08946,1.08976,1.08945,1.08966,169,6,0,0.00034754600579719926,False,1.0897666647758952
2024-07-15 20:25:00,1.08965,1.08974,1.08959,1.08969,219,5,0,0.00033343557681167593,False,1.0897593512816115
2024-07-15 20:30:00,1.08969,1.09006,1.08958,1.09005,256,5,0,0.0003439044641822731,False,1.0897870735652146
